Date,Time,Club,Club Head Speed (mph),Ball Speed (mph),Launch Angle (deg),Launch Direction (deg),Total Spin (rpm),Carry Distance (yd),Total Distance (yd),Smash Factor,Accuracy (yd),Peak Height (yd)
"2024-12-22","13:11:20","3W","93.6","131.5","18.0","-13.8","3042","208.0","214.1","1.405","19.1","126.0"
"2024-02-21","09:35:39","LW","66.2","75.1","52.5","9.4","9605","76.0","85.0","1.135","10.8","44.1"
"2024-03-08","09:11:28","3H","97.9","136.1","18.2","4.6","5269","183.9","187.2","1.391","17.0","122.2"
"2024-02-24","15:13:38","4H","88.9","118.9","17.7","3.2","4592","155.9","161.8","1.338","13.0","118.0"
"2024-05-23","12:18:40","3H","100.4","137.3","20.4","9.5","4385","185.8","195.2","1.367","-19.3","141.1"
"2024-07-23","07:25:20","4H","90.2","121.2","17.8","13.9","4774","150.1","152.1","1.343","13.1","94.6"
"2024-12-02","12:54:36","4H","89.4","121.1","19.9","-11.9","4763","175.4","183.2","1.354","-18.1","118.0"
"2024-08-10","06:33:36","Driver","104.4","156.0","10.8","1.7","2279","241.2","237.8","1.494","12.4","167.9"
"2024-03-23","11:09:22","5H","95.4","129.5","21.8","-3.7","4041","171.2","169.7","1.357","8.6","93.2"
"2024-08-26","13:05:41","GW","72.5","85.7","47.1","-10.2","10017","101.6","110.9","1.182","0.7","69.5"
"2024-02-09","16:22:41","8H","89.6","116.9","17.2","5.0","4687","147.1","147.4","1.304","-11.4","87.8"
"2024-07-12","13:59:51","SW","72.0","83.5","54.1","-13.4","8503","88.1","88.3","1.161","18.4","68.2"
"2024-08-14","18:12:13","GW","70.7","83.1","49.9","1.0","10339","95.9","104.4","1.175","18.8","73.5"
"2024-04-09","14:17:49","7H","85.2","111.0","20.5","-9.7","5043","133.6","137.0","1.303","-0.2","84.0"
"2024-12-20","19:10:16","3W","91.9","128.6","14.4","-6.8","3009","189.1","188.4","1.398","9.9","112.6"
"2024-09-10","11:17:47","GW","73.6","86.2","50.4","-10.3","10446","92.5","101.2","1.172","17.3","56.8"
"2024-12-10","08:16:14","8H","83.8","111.3","22.6","-9.1","6355","138.3","136.4","1.328","11.8","89.3"
"2024-11-16","11:17:48","6H","91.2","121.2","21.6","-9.8","5420","141.0","146.8","1.329","-13.2","94.1"
"2024-03-09","16:02:16","SW","67.4","80.7","47.4","-5.3","8918","113.6","113.0","1.197","3.0","62.4"
"2024-11-03","16:32:07","Driver","100.4","146.4","15.2","-7.9","3306","250.9","253.2","1.458","8.2","169.3"
"2024-04-23","16:47:30","SW","72.3","84.5","49.5","-3.2","8927","109.8","115.7","1.170","-6.8","73.6"
"2024-08-24","10:06:19","3H","102.0","138.0","21.9","14.0","4935","171.7","169.0","1.352","14.7","125.6"
"2024-07-22","09:07:15","8H","91.3","122.2","23.5","3.1","5709","161.5","170.4","1.338","-5.8","123.3"
"2024-02-21","09:50:08","PW","76.5","92.9","45.5","14.0","7711","143.3","140.8","1.215","9.8","95.8"
"2024-12-02","18:53:38","9H","84.6","111.4","20.4","8.0","4811","155.8","152.1","1.317","-4.4","115.3"
"2024-03-14","07:32:18","5W","101.4","140.4","18.4","-14.7","3993","188.1","193.9","1.384","-4.2","102.1"
"2024-02-03","07:15:29","GW","70.3","83.6","47.9","5.8","9606","112.8","108.6","1.190","3.2","85.2"
"2024-07-25","09:00:00","5W","95.5","136.5","15.4","1.8","3626","226.3","230.8","1.429","7.4","113.3"
"2024-06-10","18:50:30","6H","91.3","118.7","23.3","-14.2","5615","147.7","144.6","1.300","8.5","101.0"
"2024-11-08","15:06:01","SW","69.8","83.4","49.0","5.9","9255","97.9","103.8","1.195","15.9","64.3"
"2024-02-13","19:11:51","2H","95.0","129.1","19.5","-4.3","3556","163.9","159.0","1.359","0.0","83.9"
"2024-07-27","07:05:22","2H","98.3","133.7","16.5","6.6","5361","202.8","200.8","1.360","-7.8","113.6"
"2024-06-10","08:20:44","8H","92.6","122.5","19.5","-3.9","5247","175.0","183.9","1.323","-4.0","87.9"
"2024-03-26","14:17:26","Driver","97.4","143.0","13.4","-5.5","3152","280.9","285.8","1.469","-8.2","219.2"
"2024-06-19","16:02:18","5W","100.0","141.6","13.4","9.3","3945","218.0","213.6","1.416","-12.3","114.4"
"2024-10-17","14:52:30","3W","93.4","129.5","21.1","-9.1","3198","212.6","212.2","1.387","-15.1","153.9"
"2024-02-24","17:03:11","8H","93.0","121.0","16.0","-3.8","4828","144.3","146.8","1.300","-15.0","102.5"
"2024-03-27","09:58:22","SW","75.0","87.1","51.2","-5.4","9192","115.9","113.9","1.161","16.0","88.5"
"2024-09-06","16:05:18","LW","67.2","74.9","51.7","14.1","9923","69.4","74.3","1.113","4.0","39.1"
